stationName,Longitude,Latitude,totalDocks
Soissons Landing,-74.01486576,40.69231661,29
Pier 40 - Hudson River Park,-74.01129574,40.72771408,23
W 27 St & 10 Ave,-74.00218427,40.75018156,37
9 Ave & W 28 St,-73.99923384,40.74937024,27
Mercer St & Bleecker St,-73.99662137,40.72706363,45
Cooper Square & Astor Pl,-73.9907527,40.72951496,59
Morris Canal,-74.03852552,40.71241882,14
Lafayette Park,-74.06285852,40.71346383,14
Brunswick & 6th,-74.05038893,40.72601173,14
Jersey & 6th St,-74.04557168,40.72528911,14
Jersey & 3rd,-74.04595256,40.72333159,14
Manila & 1st,-74.04288411,40.72165072,18
Columbus Drive,-74.03891444,40.7183552,14
Marin Light Rail,-74.04281706,40.71458404,26
Communipaw & Berry Lane,-74.06661093,40.71435837,14
Monmouth and 6th,-74.04879034,40.72568548,14
Dixon Mills,-74.04996783,40.72163014,18
Astor Place,-74.07126188,40.7192822,14
Leonard Gordon Park,-74.05727148,40.74590997,14
5 Ave & E 88 St,-73.95939,40.78307,38
W 89 St & Columbus Ave,-73.97041561,40.7882213,47
E 88 St & Park Ave,-73.95595908,40.7814107,38
W 87 St & Amsterdam Ave,-73.9747,40.78839,43
E 89 St & 3 Ave,-73.9521667,40.7806284,39
E 88 St & 1 Ave,-73.9488134,40.778301,39
W 90 St & Amsterdam Ave,-73.97288918,40.79017948,32
E 89 St & York Ave,-73.946041,40.7779453,35
5 Ave & E 93 St,-73.957481,40.7857851,43
W 92 St & Broadway,-73.9739,40.7921,24
E 91 St & Park Ave,-73.955327,40.7835016,38
Central Park W & W 96 St,-73.964839,40.79127,59
E 93 St & 2 Ave,-73.94891962,40.78245418,42
6 St & 7 Ave,-73.97988067,40.6686627,21
Warren St & Court St,-73.99383324,40.686371,23
E 98 St & Park Ave,-73.95206,40.78813,25
Prospect Park West & 8 St,-73.97637606,40.66514682,25
Columbus Ave & W 95 St,-73.968087,40.7919557,39
Columbus Ave & W 103 St,-73.96434123,40.7969347,22
Butler St & Court St,-73.99440329,40.6849894,25
6 Ave & 9 St,-73.98377641,40.668127,27
E 91 St & 2 Ave,-73.94965589,40.7811223,39
10 St & 7 Ave,-73.98199886,40.6662078,23
West End Ave & W 94 St,-73.974124,40.7941654,31
Kane St & Clinton St,-73.99645295,40.6861758,27
E 97 St & 3 Ave,-73.94860294,40.7859201,30
14 St & 7 Ave,-73.98396846,40.663779,24
Columbia St & Kane St,-74.0016256,40.68763155,21
1 Ave & E 94 St,-73.94594,40.7817212,39
6 Ave & 12 St,-73.9854617,40.6663181,29
W 95 St & Broadway,-73.971888,40.7937704,32
Henry St & Degraw St,-73.99917254,40.6847514,23
10 St & 5 Ave,-73.98700053,40.6686273,24
2 Ave & E 96 St,-73.9471673,40.7839636,39
14 St & 5 Ave,-73.98895053,40.666287,21
Central Park West & W 100 St,-73.96286845,40.79406661,49
Clinton St & Union St,-73.99785267,40.6831164,25
12 St & 4 Ave,-73.9904394,40.668603,25
W 106 St & Central Park West,-73.9605909,40.7981856,59
3 Ave & 14 St,-73.99333264,40.6685455,25
Clinton St & Centre St,-74.00194698,40.67434,21
3 Ave & E 100 St,-73.94728331,40.7877214,27
W 100 St & Manhattan Ave,-73.9645,40.795,39
Degraw St & Smith St,-73.99318208,40.6829151,27
Henry St & Bay St,-74.00494695,40.6725058,19
Riverside Dr & W 104 St,-73.97114574,40.8013434,39
Degraw St & Hoyt St,-73.99079025,40.68199044,19
Columbia St & Lorraine St,-74.0075572,40.6747055,21
Union St & 4 Ave,-73.98282002,40.6772744,28
E 97 St & Madison Ave,-73.953559,40.787801,41
Dwight St & Van Dyke St,-74.01195556,40.67363551,23
2 Ave & E 99 St,-73.94552579,40.7862586,31
Berkeley Pl & 6 Ave,-73.97846879,40.6765304,23
Wolcott St & Dwight St,-74.0100698,40.6753274,21
Central Park West & W 102 St,-73.96186,40.795346,41
Pioneer St & Richards St,-74.0094613,40.6777748,23
W 107 St & Columbus Ave,-73.96211287,40.7997568,23
Pioneer St & Van Brunt St,-74.011169,40.679043,19
Madison Ave & E 99 St,-73.95242929,40.78948542,35
Berkeley Pl & 7 Ave,-73.97523209,40.67514684,29
Van Brunt St & Wolcott St,-74.01275056,40.6773429,21
Coffey St & Conover St,-74.015665,40.677236,19
Grand Army Plaza & Plaza St West,-73.97087984,40.6729679,30
